age_band,country,dwelling_type,years_of_construction
J,Scotland,park home,not applicable
K,Scotland,park home,2006 onwards
L,Scotland,park home,not applicable
F,Northern Ireland,park home,before 1983
G,Northern Ireland,park home,1983-1995
H,Northern Ireland,park home,not applicable
I,Northern Ireland,park home,1996-2005
J,Northern Ireland,park home,not applicable
K,Northern Ireland,park home,2006 onwards
L,Northern Ireland,park home,not applicable
