country,wall_type,age_band,wall_thickness
Scotland,cavity,K,350
Scotland,timber frame,K,300
Scotland,cob,K,590
Scotland,system build (i.e. an other),K,300
Scotland,park home wall,K,100
Scotland,stone (granite or shinstone),L,550
Scotland,stone (sandstone or limestone),L,550
Scotland,solid brick,L,300
Scotland,cavity,L,350
Scotland,timber frame,L,300
Scotland,cob,L,590
Scotland,system build (i.e. an other),L,300
Scotland,park home wall,L,100
Northern Ireland,stone (granite or shinstone),A,500
Northern Ireland,stone (sandstone or limestone),A,500
Northern Ireland,solid brick,A,220
Northern Ireland,cavity,A,250
Northern Ireland,timber frame,A,150
Northern Ireland,cob,A,540
Northern Ireland,system build (i.e. an other),A,250
Northern Ireland,stone (granite or shinstone),B,500
Northern Ireland,stone (sandstone or limestone),B,500
Northern Ireland,solid brick,B,220
Northern Ireland,cavity,B,250
Northern Ireland,timber frame,B,150
Northern Ireland,cob,B,540
Northern Ireland,system build (i.e. an other),B,250
Northern Ireland,stone (granite or shinstone),C,500
Northern Ireland,stone (sandstone or limestone),C,500
Northern Ireland,solid brick,C,220
Northern Ireland,cavity,C,250
Northern Ireland,timber frame,C,150
Northern Ireland,cob,C,540
Northern Ireland,system build (i.e. an other),C,250
Northern Ireland,stone (granite or shinstone),D,500
Northern Ireland,stone (sandstone or limestone),D,500
Northern Ireland,solid brick,D,220
Northern Ireland,cavity,D,250
Northern Ireland,timber frame,D,250
Northern Ireland,cob,D,540
Northern Ireland,system build (i.e. an other),D,250
Northern Ireland,stone (granite or shinstone),E,450
Northern Ireland,stone (sandstone or limestone),E,450
Northern Ireland,solid brick,E,240
Northern Ireland,cavity,E,250
Northern Ireland,timber frame,E,270
Northern Ireland,cob,E,540
Northern Ireland,system build (i.e. an other),E,250
Northern Ireland,stone (granite or shinstone),F,420
Northern Ireland,stone (sandstone or limestone),F,420
Northern Ireland,solid brick,F,250
Northern Ireland,cavity,F,260
Northern Ireland,timber frame,F,270
Northern Ireland,cob,F,540
Northern Ireland,system build (i.e. an other),F,300
Northern Ireland,park home wall,F,50
Northern Ireland,stone (granite or shinstone),G,420
Northern Ireland,stone (sandstone or limestone),G,420
Northern Ireland,solid brick,G,270
Northern Ireland,cavity,G,270
Northern Ireland,timber frame,G,270
Northern Ireland,cob,G,560
Northern Ireland,system build (i.e. an other),G,300
Northern Ireland,park home wall,G,50
Northern Ireland,stone (granite or shinstone),H,420
Northern Ireland,stone (sandstone or limestone),H,420
Northern Ireland,solid brick,H,270
Northern Ireland,cavity,H,270
Northern Ireland,timber frame,H,270
Northern Ireland,cob,H,560
Northern Ireland,system build (i.e. an other),H,300
Northern Ireland,stone (granite or shinstone),I,450
Northern Ireland,stone (sandstone or limestone),I,450
Northern Ireland,solid brick,I,300
Northern Ireland,cavity,I,300
Northern Ireland,timber frame,I,300
Northern Ireland,cob,I,590
Northern Ireland,system build (i.e. an other),I,300
Northern Ireland,park home wall,I,75
Northern Ireland,stone (granite or shinstone),J,450
Northern Ireland,stone (sandstone or limestone),J,450
Northern Ireland,solid brick,J,300
Northern Ireland,cavity,J,300
Northern Ireland,timber frame,J,300
Northern Ireland,cob,J,590
Northern Ireland,system build (i.e. an other),J,300
Northern Ireland,park home wall,J,100
Northern Ireland,stone (granite or shinstone),K,450
Northern Ireland,stone (sandstone or limestone),K,450
Northern Ireland,solid brick,K,300
Northern Ireland,cavity,K,300
Northern Ireland,timber frame,K,300
Northern Ireland,cob,K,590
Northern Ireland,system build (i.e. an other),K,300
Northern Ireland,park home wall,K,100
Northern Ireland,stone (granite or shinstone),L,450
Northern Ireland,stone (sandstone or limestone),L,450
Northern Ireland,solid brick,L,300
Northern Ireland,cavity,L,300
Northern Ireland,timber frame,L,300
Northern Ireland,cob,L,590
Northern Ireland,system build (i.e. an other),L,300
Northern Ireland,park home wall,L,100
